Traffic Police Station,Carry excess Passenger,Causing Obstruction To Free Flow Of Traffic,Demanding excess fare from the passenger,Disobedience of Police order/direction,Drunk and Drive,Failed to produce valid PUCC,Honking,Jumping signal,Lane cutting,Modification in Silencer,No Entry In Oneway,Other M.V. Acts,Police stop violation,Refusal To Ply,Speed Violation,Tinted glasses/Black Film,Triple Seat,Unauthorised Modification In Vehicle,W\O Permit,Without Helmet,Without M.D.L,Without Seatbelt,Without Uniform,Wrong side driving,Grand Total
Malwani Police Station,98,7023,2,5,0,26,5,1,2,1,10,6451,0,5,44,2,573,77,7,34092,64,46,22,81,48637
Khar Police Station,5,825,2,1,0,4,16,1,0,1,23,3354,0,3,1,7,1351,2,7,32768,50,8,101,92,38622
N.M.Joshi Police Station,3,10742,1,17,1,2,1,24,0,0,2,736,16,11,0,2,388,0,0,21003,5,12,1,7,32974
Andheri Police Station,116,836,23,25,1,770,16,550,0,1,253,5282,42,220,2,3,921,0,31,20377,246,41,80,218,30054
Dharavi Police Station,81,15830,1,31,3,270,3,197,0,0,334,4007,204,1073,2,28,252,2,2,5775,85,628,33,0,28841
Borivali Police Station,182,4675,2,53,1,591,28,1969,0,0,133,4497,64,18,0,3,243,1,82,14148,82,171,95,16,27054
Mulund Police Station,40,261,0,8,0,285,1,68,0,1,188,4368,14,125,1,6,337,0,0,18492,24,179,174,2,24574
R.A.K Marg Police Station,132,430,0,0,0,4,2,863,18,0,83,2520,248,4,0,0,203,0,0,18861,16,434,2,9,23829
Ghatkopar Police Station,397,2288,1,153,5,164,2,17,2,1,50,3463,1,52,4,1,375,2,0,15681,39,10,23,233,22964
Pydhonie Police Station,31,6010,0,34,0,48,70,37,1,0,867,2405,32,9,2,37,217,0,0,10662,26,84,54,170,20796
Malad Police Station,168,731,5,12,0,122,8,4332,4,1,115,5221,10,40,1,21,170,2,0,8633,107,73,147,68,19991
Nagpada Police Station,24,4978,0,27,4,309,6,30,0,0,30,3977,21,59,0,7,403,1,0,8380,113,821,17,16,19223
Kandivali Police Station,40,1139,6,66,0,70,3,1629,0,2,89,2348,12,6,1,5,265,0,0,12926,133,32,24,286,19082
Kherwadi Police Station,106,3237,5,28,1,124,1,48,0,0,60,1597,47,13,2,17,542,1,37,12500,95,83,172,20,18736
Jogeshawari Police Station,589,1193,0,43,0,911,1,2460,0,0,4140,4873,15,348,4,2,106,0,1,3141,25,177,21,12,18062
Juhu Police Station,229,2341,3,108,0,1,1,47,0,0,35,1401,11,1514,0,4,454,0,0,11549,27,14,24,17,17780
Meghwadi Police Station,628,1682,0,1,0,8,1,26,2,0,13,1457,2,20,3,0,289,5,4,10412,26,25,584,15,15203
Dahisar Police Station,8,1409,0,10,3,79,9,226,0,8,527,3684,1,19,0,12,162,1,5,8676,96,20,70,91,15116
Oshiwara Police Station,18,3175,2,7,0,195,0,12,0,1,20,1664,7,3,0,13,316,1,1,9092,151,12,178,11,14879
Kasturba Police Station,71,3432,7,14,2,28,12,80,0,0,577,3523,8,169,0,5,210,0,3,6283,51,110,78,8,14671
Amboli Police Station,45,3078,0,19,0,5,1,34,0,0,47,787,0,5,0,2,260,0,0,10122,19,17,51,25,14517
V.P.Road Police Station,14,5366,0,219,0,194,3,62,0,0,330,2188,89,14,4,4,125,1,0,5280,131,9,0,53,14086
Tilak Nagar Police Station,152,1756,0,255,1,315,77,1142,1,2,3,4393,132,125,355,25,102,0,0,3606,28,381,319,120,13290
Worli Police Station,46,1632,0,0,0,2,1,25,0,0,7,477,18,26,0,4,196,0,0,9603,13,589,0,8,12647
Navghar Police Station,160,188,0,43,0,1060,0,1,4,0,3,9191,8,82,0,1,67,0,0,1194,27,228,143,20,12420
Byculla Police Station,27,1227,0,63,0,670,1,30,0,1,96,3754,11,7,1,5,137,1,0,5844,181,69,12,76,12213
Nehru Nagar Police Station,64,1408,2,199,5,52,1,26,1,0,31,3317,9,112,0,1,193,0,0,5362,13,534,401,41,11772
Goregaon Police Station,134,1091,3,27,1,10,13,3,0,0,51,663,1,3,0,0,80,0,4,8440,10,47,47,47,10675
Chembur Police Station,129,1757,0,5,0,104,10,679,3,0,318,3607,7,278,1,2,191,0,3,2963,124,105,41,325,10652
Kurla Police Station,152,3251,0,3,21,486,20,7,0,0,48,2686,16,83,0,4,137,0,1,2455,34,122,39,16,9581
